,sample
967,RP11-777B9.4
968,RNU6-214P
969,RP11-777B9.1
970,MB
971,LINC00847
972,AC012175.1
973,DUX4L7
974,DUX4L6
975,DUX4L5
976,DUX4L4
977,DUX4L3
978,DUX4L2
979,DUX4L1
980,SLC18A3
981,SLC18A2
982,SLC18A1
983,LINC01218
984,STRC
985,DUX4L9
986,RP11-332H17.1
987,RALBP1
988,AC008697.1
989,RP11-626E13.1
990,AP005530.2
991,CTD-2311B13.10
992,B3GALT5-AS1
993,ZNF831
994,ZNF830
995,ZNF835
996,ZNF837
997,ZNF836
998,ZNF839
999,AC013480.1
1000,LRIF1
1001,OXCT2P1
1002,AC004854.5
1003,PHAX
1004,AC004125.3
1005,HPYR1
1006,CLYBL-AS2
1007,AC010086.1
1008,MLK7-AS1
1009,RN7SL223P
1010,AC005355.2
1011,RP11-363E7.4
1012,RP11-227B21.2
1013,TUNAR
1014,SUGCT
1015,ZNF578
1016,RP11-1143G9.4
1017,RSF1-IT1
1018,RSF1-IT2
1019,TSPY8
1020,MIR4773-1
1021,SBSPON
1022,ZPBP
1023,TSPY2
1024,TSPY1
1025,MED4-AS1
1026,RP11-252K23.2
1027,RAB33A
1028,SLC17A9
1029,RP5-947P14.1
1030,RAB33B
1031,SLC17A4
1032,SLC17A5
1033,SLC17A6
1034,SLC17A7
1035,SLC17A1
1036,SLC17A2
1037,SLC17A3
1038,RP11-386M24.6
1039,RN7SL239P
1040,C16orf58
1041,C16orf59
1042,SETDB2
1043,RP11-386M24.1
1044,C16orf52
1045,WASIR1
1046,C16orf54
1047,RP11-386M24.9
1048,ITCH
1049,CHMP4A
1050,CHMP4B
1051,CHMP4C
1052,RP11-574F21.2
1053,RP11-20E24.1
1054,AP005242.1
1055,AL591893.1
1056,RP13-131K19.6
1057,KRT8P26
1058,COBLL1
1059,RP11-275O18.1
1060,RP11-305P14.1
1061,TMEM255B
1062,TMEM255A
1063,ST5
1064,ST7
1065,TMEM173
1066,RN7SL640P
1067,CYP4A22-AS1
1068,WBP2P1
1069,RP11-574K11.31
1070,ZNF304
1071,STH
1072,ZNF302
1073,ZNF300
1074,RP11-285G1.2
1075,RP11-193F5.4
1076,STS
1077,RP11-6I2.3
1078,RP4-753F5.1
